legacy_id	target_family	replacement	evidence_key	review_route	parity_level	required_standalone_cells	service_contract	shared_systemd_executions	evidence_class	evidence_reference	promotion_ready	missing_acceptance
ubuntu-136	debian	midnight-commander	debian/midnight-commander	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-154	debian	remmina	debian/remmina	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
ubuntu-157	debian	dvblast	debian/dvblast	implemented-candidate	intent	3	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-001-php	rhel	php	rhel/php	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-8-011-nmap	rhel	nmap	rhel/nmap	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-012-irssi	rhel	irssi	rhel/irssi	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-015-docker	rhel	podman	rhel/podman	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-019-gnu-emacs	rhel	emacs	rhel/emacs	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-002-nginx	rhel	nginx	rhel/nginx	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-8-023-openjdk	rhel	openjdk	rhel/openjdk	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-026-gimp	rhel	gimp	rhel/gimp	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-028-samba	rhel	samba	rhel/samba	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-8-029-mysql	rhel	mysql	rhel/mysql	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-8-030-mariadb	rhel	mariadb	rhel/mariadb	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-8-031-nodejs-npm	rhel	nodejs	rhel/nodejs	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-032-net-sdk	rhel	dotnet-sdk	rhel/dotnet-sdk	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-004-gcc	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-042-ruby	rhel	ruby	rhel/ruby	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-045-postgresql	rhel	postgresql	rhel/postgresql	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-8-005-gplusplus	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-006-cmake	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-8-008-apache	rhel	apache	rhel/apache	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-9-001-php	rhel	php	rhel/php	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-almalinux-9-004-python	rhel	python	rhel/python	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-almalinux-9-008-nginx	rhel	nginx	rhel/nginx	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-6-001-php	rhel	php	rhel/php	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-6-002-nginx	rhel	nginx	rhel/nginx	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-6-004-gcc	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-6-005-gplusplus	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-6-006-cmake	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-6-008-apache	rhel	apache	rhel/apache	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-7-001-php	rhel	php	rhel/php	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-7-011-nmap	rhel	nmap	rhel/nmap	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-012-irssi	rhel	irssi	rhel/irssi	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-015-docker	rhel	podman	rhel/podman	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-019-gnu-emacs	rhel	emacs	rhel/emacs	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-002-nginx	rhel	nginx	rhel/nginx	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-7-023-openjdk	rhel	openjdk	rhel/openjdk	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-037-gimp	rhel	gimp	rhel/gimp	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-039-samba	rhel	samba	rhel/samba	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-7-004-gcc	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-040-mysql	rhel	mysql	rhel/mysql	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-7-041-mariadb	rhel	mariadb	rhel/mariadb	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-centos-7-042-nodejs-and-npm	rhel	nodejs	rhel/nodejs	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-043-net-sdk	rhel	dotnet-sdk	rhel/dotnet-sdk	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-005-gplusplus	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-006-cmake	rhel	build-tools	rhel/build-tools	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-centos-7-008-apache	rhel	apache	rhel/apache	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-001-php	rhel	php	rhel/php	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-010-redis	rhel	redis	rhel/redis	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-014-openjdk	rhel	openjdk	rhel/openjdk	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-017-samba	rhel	samba	rhel/samba	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-018-mysql	rhel	mysql	rhel/mysql	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-020-ruby	rhel	ruby	rhel/ruby	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-024-mariadb	rhel	mariadb	rhel/mariadb	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-025-postgresql	rhel	postgresql	rhel/postgresql	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-027-docker	rhel	podman	rhel/podman	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-029-nodejs-and-npm	rhel	nodejs	rhel/nodejs	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-003-python	rhel	python	rhel/python	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-031-irssi	rhel	irssi	rhel/irssi	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-035-ansible	rhel	ansible	rhel/ansible	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-039-ufw	rhel	firewalld	rhel/firewalld	superseded-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-043-podman	rhel	podman	rhel/podman	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-044-nfs-server	rhel	nfs-server	rhel/nfs-server	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-006-apache	rhel	apache	rhel/apache	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-8-008-nmap	rhel	nmap	rhel/nmap	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-8-009-nginx	rhel	nginx	rhel/nginx	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-9-001-php	rhel	php	rhel/php	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-9-010-openjdk	rhel	openjdk	rhel/openjdk	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-9-014-postgresql	rhel	postgresql	rhel/postgresql	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-9-015-nodejs-and-npm	rhel	nodejs	rhel/nodejs	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-9-002-nginx	rhel	nginx	rhel/nginx	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-9-025-vim	rhel	vim	rhel/vim	implemented-candidate	intent	2	no	0	accepted	https://github.com/Yunushan/linux-software-installer/actions/runs/29689788889#artifact-digest=fc5ac2ab60ee38fb242f0a6f245db74c98593c8df867305b6d273356c5112718	yes	-
rhel-red-hat-enterprise-linux-9-003-apache	rhel	apache	rhel/apache	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
rhel-red-hat-enterprise-linux-9-009-mysql	rhel	mysql	rhel/mysql	implemented-candidate	intent	2	yes	4	none	-	no	G3-repository-resolution+G4-standalone-install+G5-systemd-behavior+row-parity-review+durable-trust-anchor
