legacy_id	normalized_capability	strategy	recommended_action	replacement_outcome	rationale
ubuntu-005	visual-studio-code	vendor-apt	implement	visual-studio-code	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-014	steam	distro-component	implement	steam	An explicit Ubuntu 24.04 x86_64 multiarch module exists; require accepted real-install and repeat-state evidence before promotion.
ubuntu-018	sublime-text-3	vendor-apt	implement	sublime-text	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-019	brave	vendor-apt	implement	brave	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-020	tor-browser	distro-component	implement	tor-browser	An exact Ubuntu 24.04 x86_64 candidate module is present and locally probed; keep it provisional until accepted solver, real-install, repeat-state and intent-parity evidence is tied to reviewed commit and image digests.
ubuntu-022	eclipse-ide	public-artifact	conditional-artifact	eclipse-ide	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-035	signal	vendor-apt	implement	signal	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-036	dropbox	vendor-apt	implement	dropbox	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-037	wps-office	public-artifact	conditional-artifact	wps-office	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-049	teamviewer-14	vendor-apt	implement	teamviewer	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-051	discord	snap-store	implement	discord	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-052	android-studio	snap-store	implement	android-studio	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-056	franz	public-artifact	conditional-artifact	franz	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-057	balenaetcher	public-artifact	conditional-artifact	balenaetcher	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-058	vivaldi	vendor-apt	implement	vivaldi	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-059	spotify	snap-store	implement	spotify	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-061	pcloud-drive	public-artifact	conditional-artifact	pcloud-drive	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-065	jenkins	vendor-apt	implement	jenkins	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-083	bitwarden	snap-store	implement	bitwarden	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-090	gitkraken	snap-store	implement	gitkraken	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-091	wire	public-artifact	conditional-artifact	wire	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-092	kubectl	vendor-apt	implement	kubectl	Use the planning-only kubernetes-v1-36 contract in KUBECTL_PROVIDER_AUDIT.md; even a test fixture remains blocked on acquiring the exact key through valid TLS, and live APT apply also needs replay protection and accepted install and repeat evidence.
ubuntu-093	zenkit	snap-store	implement	zenkit	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-097	makehuman	distro-component	implement	makehuman	Verify the maintained distribution package on every claimed Debian-family image before adding the package-only module.
ubuntu-099	4k-video-downloader	public-artifact	conditional-artifact	4k-video-downloader	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-100	4k-youtube-to-mp3	public-artifact	conditional-artifact	4k-youtube-to-mp3	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-102	4k-slideshow-maker	public-artifact	conditional-artifact	4k-slideshow-maker	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-103	4k-video-to-mp3	public-artifact	conditional-artifact	4k-video-to-mp3	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-108	textadept	public-artifact	conditional-artifact	textadept	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-109	tixati	public-artifact	conditional-artifact	tixati	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-114	xnconvert	public-artifact	conditional-artifact	xnconvert	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-127	plex-media-server	snap-store	implement	plex-media-server	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-133	pale-moon	public-artifact	conditional-artifact	pale-moon	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-134	midori	snap-store	implement	midori	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-135	simplenote	snap-store	implement	simplenote	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-137	pycharm-community-edition	snap-store	implement	pycharm-community	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-138	postman	snap-store	implement	postman	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-140	phpstorm	snap-store	implement	phpstorm	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-141	powershell	snap-store	implement	powershell	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-142	cacher	snap-store	implement	cacher	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-143	webstorm	snap-store	implement	webstorm	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-144	insomnia	snap-store	implement	insomnia	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-145	opera	snap-store	implement	opera	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-146	google-chrome	vendor-apt	implement	google-chrome	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-147	chromium	snap-store	implement	chromium	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-148	dbeaver-community-edition	snap-store	implement	dbeaver	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-149	valentina-studio	public-artifact	conditional-artifact	valentina-studio	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-150	squirrel-sql	snap-store	implement	squirrel-sql	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-151	dbvisualizer	public-artifact	conditional-artifact	dbvisualizer	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
ubuntu-152	datagrip	snap-store	implement	datagrip	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
ubuntu-153	pgadmin	vendor-apt	implement	pgadmin	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-155	anydesk	vendor-apt	implement	anydesk	Add a signed vendor APT provider with a scoped keyring and verify solver, install and update behavior.
ubuntu-159	lxd	snap-store	implement	lxd	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-almalinux-8-010-transmission	transmission	epel-package	implement	transmission	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-013-timeshift	timeshift	epel-package	implement	timeshift	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-014-jenkins	jenkins	vendor-rpm	implement	jenkins	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-almalinux-8-016-weechat	weechat	epel-package	implement	weechat	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-017-quassel	quassel	epel-package	implement	quassel	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-020-kubectl	kubectl	vendor-rpm	implement	kubectl	Use the planning-only kubernetes-v1-36 contract in KUBECTL_PROVIDER_AUDIT.md; even a test fixture remains blocked on valid-TLS key acquisition, while live RPM apply also needs key provenance and expiry policy, TLS-clean EL probes and accepted evidence.
rhel-almalinux-8-021-magic-wormhole	magic-wormhole	epel-package	implement	magic-wormhole	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-022-neovim	neovim	epel-package	implement	neovim	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-024-dvblast	dvblast	epel-package	implement	dvblast	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-003-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-almalinux-8-034-winehq	winehq	epel-package	implement	wine	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-035-visual-studio-code	visual-studio-code	vendor-rpm	implement	visual-studio-code	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-almalinux-8-036-android-studio	android-studio	snap-store	implement	android-studio	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-almalinux-8-037-postman	postman	snap-store	implement	postman	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-almalinux-8-038-beekeeper-studio	beekeeper-studio	snap-store	implement	beekeeper-studio	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-almalinux-8-039-mysql-router	mysql-router	vendor-rpm	implement	mysql-router	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-almalinux-8-041-flutter	flutter	snap-store	implement	flutter	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-almalinux-8-046-tinc	tinc	epel-package	implement	tinc	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-8-007-vlc	vlc	rpm-fusion	implement	vlc	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-almalinux-8-009-monitoring-tools	monitoring-tools	epel-package	implement	monitoring-tools	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-9-003-snap	snap	snap-bootstrap	implement	snap-provider	Audit-only route: snapd resolves through EPEL, whose metadata lacks a detached repomd.xml signature; admission also requires a reviewed metalink-hash-and-package mode and accepted real-systemd service evidence.
rhel-almalinux-9-005-winehq	winehq	epel-package	implement	wine	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-9-006-htop	htop	epel-package	implement	htop	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-almalinux-9-007-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-centos-6-003-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-centos-6-007-vlc	vlc	rpm-fusion	implement	vlc	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-centos-7-010-transmission	transmission	epel-package	implement	transmission	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-013-timeshift	timeshift	epel-package	implement	timeshift	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-014-jenkins	jenkins	vendor-rpm	implement	jenkins	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-centos-7-016-weechat	weechat	epel-package	implement	weechat	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-017-quassel	quassel	epel-package	implement	quassel	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-020-kubectl	kubectl	vendor-rpm	implement	kubectl	Use the planning-only kubernetes-v1-36 contract in KUBECTL_PROVIDER_AUDIT.md; even a test fixture remains blocked on valid-TLS key acquisition, while live RPM apply also needs key provenance and expiry policy, TLS-clean EL probes and accepted evidence.
rhel-centos-7-021-magic-wormhole	magic-wormhole	epel-package	implement	magic-wormhole	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-022-neovim	neovim	epel-package	implement	neovim	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-024-deluge	deluge	epel-package	implement	deluge	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-025-snap	snap	snap-bootstrap	implement	snap-provider	Audit-only route: snapd resolves through EPEL, whose metadata lacks a detached repomd.xml signature; admission also requires a reviewed metalink-hash-and-package mode and accepted real-systemd service evidence.
rhel-centos-7-026-winehq	winehq	epel-package	implement	wine	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-028-telegram	telegram	snap-store	implement	telegram	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-centos-7-029-screenfetch	screenfetch	public-artifact	conditional-artifact	screenfetch	Automate only with an immutable version and trusted upstream signature or digest; otherwise document a vendor handoff.
rhel-centos-7-003-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-centos-7-030-postman	postman	snap-store	implement	postman	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-centos-7-031-dbeaver-ce	dbeaver-ce	snap-store	implement	dbeaver	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-centos-7-032-anydesk	anydesk	vendor-rpm	implement	anydesk	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-centos-7-034-dvblast	dvblast	epel-package	implement	dvblast	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-036-pycharm-community	pycharm-community	snap-store	implement	pycharm-community	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-centos-7-044-tinc	tinc	epel-package	implement	tinc	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-centos-7-007-vlc	vlc	rpm-fusion	implement	vlc	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-centos-7-009-monitoring-tools	monitoring-tools	epel-package	implement	monitoring-tools	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-015-dvblast	dvblast	epel-package	implement	dvblast	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-019-mysql-router	mysql-router	vendor-rpm	implement	mysql-router	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-8-021-flutter	flutter	snap-store	implement	flutter	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-red-hat-enterprise-linux-8-026-postman	postman	snap-store	implement	postman	Add an opt-in Snap provider only after publisher, channel, confinement and repeat-install review.
rhel-red-hat-enterprise-linux-8-028-jenkins	jenkins	vendor-rpm	implement	jenkins	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-8-030-tinc	tinc	epel-package	implement	tinc	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-033-links	links	epel-package	implement	links	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-034-mongodb	mongodb	vendor-rpm	implement	mongodb	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-8-036-clamav	clamav	epel-package	implement	clamav	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-038-vlc	vlc	rpm-fusion	implement	vlc	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-red-hat-enterprise-linux-8-004-winehq	winehq	epel-package	implement	wine	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-040-fail2ban	fail2ban	epel-package	implement	fail2ban	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-042-composer	composer	epel-package	implement	composer	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-8-047-pgadmin	pgadmin	vendor-rpm	implement	pgadmin	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-8-048-pgagent	pgagent	vendor-rpm	implement	pgagent	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-8-049-zabbix-agent	zabbix-agent	vendor-rpm	implement	zabbix-agent	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-8-005-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
rhel-red-hat-enterprise-linux-8-007-transmission	transmission	epel-package	implement	transmission	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-011-dvblast	dvblast	epel-package	implement	dvblast	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-016-winehq	winehq	epel-package	implement	wine	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-017-pgadmin	pgadmin	vendor-rpm	implement	pgadmin	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-9-018-pgagent	pgagent	vendor-rpm	implement	pgagent	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-9-027-jenkins	jenkins	vendor-rpm	implement	jenkins	Add a signed vendor RPM provider with pinned key identity and verify solver, install and update behavior.
rhel-red-hat-enterprise-linux-9-029-fail2ban	fail2ban	epel-package	implement	fail2ban	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-030-tinc	tinc	epel-package	implement	tinc	Audit-only route: EPEL lacks a detached repomd.xml signature, so current provider admission is blocked pending a reviewed metalink-hash-and-package trust mode plus accepted solver and install evidence.
rhel-red-hat-enterprise-linux-9-006-ffmpeg	ffmpeg	rpm-fusion	implement	ffmpeg	Add an explicit signed RPM Fusion provider and verify the maintained EL package through solver and real-install evidence.
